Idaho:2005:Argiacris amissuli
Massachusetts:2015:Anas discors
Massachusetts:2015:Anas rubripes
Massachusetts:2015:Anax longipes
Massachusetts:2015:Anguilla rostrata
Massachusetts:2015:Anodonta implicata
Massachusetts:2015:Anthophora walshii
Massachusetts:2015:Antrostomus vociferus 
Massachusetts:2015:Apamea inebriata
Massachusetts:2015:Aplectrum hyemale
Massachusetts:2015:Apodrepanulatrix liberaria
Massachusetts:2015:Arabidopsis lyrata
Massachusetts:2015:Arceuthobium pusillum
Massachusetts:2015:Ardea alba
Massachusetts:2015:Arenaria interpres
Massachusetts:2015:Arethusa bulbosa
Massachusetts:2015:Arisaema dracontium
Massachusetts:2015:Aristida purpurascens
Massachusetts:2015:Aristida tuberculosa
Massachusetts:2015:Asclepias purpurascens
Massachusetts:2015:Asclepias verticillata
Massachusetts:2015:Asio flammeus
Massachusetts:2015:Asio otus
Massachusetts:2015:Asplenium montanum
Massachusetts:2015:Asplenium ruta-muraria
Massachusetts:2015:Balaenoptera borealis
Massachusetts:2015:Balaenoptera musculus
Massachusetts:2015:Balaenoptera physalus
Massachusetts:2015:Bartramia longicauda
Massachusetts:2015:Betula pumila
Massachusetts:2015:Bidens eatonii
Massachusetts:2015:Bidens hyperborea
Massachusetts:2015:Blephilia ciliata
Massachusetts:2015:Blephilia hirsuta
Massachusetts:2015:Boechera laevigata
Massachusetts:2015:Boechera missouriensis
Massachusetts:2015:Bombus affinis
Massachusetts:2015:Bombus fervidus
Massachusetts:2015:Bombus pensylvanicus
Massachusetts:2015:Bombus terricola
Massachusetts:2015:Bonasa umbellus
Massachusetts:2015:Botaurus lentiginosus
Massachusetts:2015:Botrychium simplex
Massachusetts:2015:Botrychium tenebrosum
Massachusetts:2015:Boyeria grafiana
Massachusetts:2015:Buteo platypterus
Massachusetts:2015:Calamagrostis pickeringii
Massachusetts:2015:Calamagrostis stricta ssp. inexpansa
Massachusetts:2015:Calidris alba
Massachusetts:2015:Calidris canutus
Massachusetts:2015:Calidris maritima
Massachusetts:2015:Calidris pusilla
Massachusetts:2015:Callophrys hesseli
Massachusetts:2015:Callophrys irus
Massachusetts:2015:Callophrys lanoraieensis
Massachusetts:2015:Calonectris diomedea
Massachusetts:2015:Calystegia spithamaea
Massachusetts:2015:Cambarus bartonii
Massachusetts:2015:Cardamine dentata
Massachusetts:2015:Cardamine douglassii
Massachusetts:2015:Cardamine longii
Massachusetts:2015:Cardellina canadensis 
Massachusetts:2015:Caretta caretta
Massachusetts:2015:Carex alopecoidea
Massachusetts:2015:Carex backii
Massachusetts:2015:Carex baileyi
Massachusetts:2015:Carex bushii
Massachusetts:2015:Carex castanea
Massachusetts:2015:Carex chordorrhiza
Massachusetts:2015:Carex davisii
Massachusetts:2015:Carex exilis
Massachusetts:2015:Carex formosa
Massachusetts:2015:Carex glaucodea
Massachusetts:2015:Carex gracilescens
Massachusetts:2015:Carex grayi
Massachusetts:2015:Carex hitchcockiana
Massachusetts:2015:Carex lenticularis
Massachusetts:2015:Carex livida
Massachusetts:2015:Carex lupuliformis
Massachusetts:2015:Carex mesochorea
Massachusetts:2015:Carex michauxiana
Massachusetts:2015:Carex mitchelliana
Massachusetts:2015:Carex oligocarpa
Massachusetts:2015:Carex oligosperma
Massachusetts:2015:Carex pauciflora
Massachusetts:2015:Carex polymorpha
Massachusetts:2015:Carex schweinitzii
Massachusetts:2015:Carex sterilis
Massachusetts:2015:Carex striata
Massachusetts:2015:Carex tetanica
Massachusetts:2015:Carex trichocarpa
Massachusetts:2015:Carex tuckermanii
Massachusetts:2015:Carex typhina
Massachusetts:2015:Carphophis amoenus
Massachusetts:2015:Catocala herodias gerhardi
Massachusetts:2015:Catocala pretiosa pretiosa
Massachusetts:2015:Catostomus catostomus
Massachusetts:2015:Catostomus commersoni
Massachusetts:2015:Celastrus scandens
Massachusetts:2015:Cerastium nutans
Massachusetts:2015:Chaetaglaea cerata
Massachusetts:2015:Chaetura pelagica
Massachusetts:2015:Chamaelirium luteum
Massachusetts:2015:Charadrius melodus
Massachusetts:2015:Chelonia mydas
Massachusetts:2015:Chenopodium foggii
Massachusetts:2015:Chordeiles minor
Massachusetts:2015:Chrosomus eos
Massachusetts:2015:Cicindela dorsalis dorsalis
Massachusetts:2015:Cicindela duodecimguttata
Massachusetts:2015:Cicindela limbalis
Massachusetts:2015:Cicindela marginipennis
Massachusetts:2015:Cicindela patruela
Massachusetts:2015:Cicindela puritana
Massachusetts:2015:Cicindela purpurea
Massachusetts:2015:Cicindela rufiventris hentzii
Massachusetts:2015:Cicinnus melsheimeri
Massachusetts:2015:Cingilia catenaria
Massachusetts:2015:Circus cyaneus
Massachusetts:2015:Cistothorus palustris
Massachusetts:2015:Cistothorus platensis
Massachusetts:2015:Clangula hyemalis
Massachusetts:2015:Claytonia virginica
Massachusetts:2015:Clematis occidentalis
Massachusetts:2015:Clemmys guttata
Massachusetts:2015:Coccyzus erythropthalmus
Massachusetts:2015:Coeloglossum viride
Massachusetts:2015:Coleataenia longifolia ssp. longifolia 
