Alabama:2015:Leptoxis picta
Alabama:2015:Leptoxis plicata
Alabama:2015:Leptoxis taeniata
Alabama:2015:Leptoxis virgata
Alabama:2015:Lepyrium showalteri
Alabama:2015:Ligumia recta
Alabama:2015:Liodytes (Seminatrix) pygaea 
Alabama:2015:Lioplax cyclostomaformis
Alabama:2015:Lithasia armigera
Alabama:2015:Lithasia curta
Alabama:2015:Lithasia lima
Alabama:2015:Lithasia salebrosa
Alabama:2015:Lithobates areolatus
Alabama:2015:Lithobates capito
Alabama:2015:Lithobates heckscheri
Alabama:2015:Lithobates sevosus
Alabama:2015:Lithobates sylvaticus
Alabama:2015:Lucania goodei
Alabama:2015:Macrhybopsis hyostoma 
Alabama:2015:Malaclemys terrapin pileata
Alabama:2015:Margaritifera marrianae
Alabama:2015:Marstonia hershleri
Alabama:2015:Marstonia pachyta
Alabama:2015:Marstonia scalariformis
Alabama:2015:Medionidus acutissimus
Alabama:2015:Medionidus conradicus
Alabama:2015:Medionidus parvulus
Alabama:2015:Medionidus penicillatus
Alabama:2015:Micropterus cataractae
Alabama:2015:Micrurus fulvius
Alabama:2015:Mustela frenata
Alabama:2015:Mycteria americana
Alabama:2015:Myotis austroriparius
Alabama:2015:Myotis grisescens
Alabama:2015:Myotis lucifugus
Alabama:2015:Myotis septentrionalis
Alabama:2015:Myotis sodalis
Alabama:2015:Necturus alabamensis
Alabama:2015:Neonympha mitchellii
Alabama:2015:Neotoma magister
Alabama:2015:Nerodia clarkii 
Alabama:2015:Nicrophorus americanus
Alabama:2015:Notropis albizonatus 
Alabama:2015:Notropis ariommus
Alabama:2015:Notropis buchanani 
Alabama:2015:Notropis cahabae
Alabama:2015:Notropis chalybaeus
Alabama:2015:Notropis cummingsae
Alabama:2015:Notropis hypsilepis
Alabama:2015:Notropis melanostomus
Alabama:2015:Noturus eleutherus 
Alabama:2015:Noturus flavus 
Alabama:2015:Noturus miurus 
Alabama:2015:Noturus munitus 
Alabama:2015:Obovaria choctawensis*
Alabama:2015:Obovaria jacksoniana
Alabama:2015:Obovaria olivaria
Alabama:2015:Obovaria retusa
Alabama:2015:Obovaria subrotunda
Alabama:2015:Obovaria unicolor
Alabama:2015:Ophisaurus attenuatus longicaudus
Alabama:2015:Ophisaurus mimicus
Alabama:2015:Orconectes cooperi
Alabama:2015:Orconectes durelli
Alabama:2015:Orconectes lancifer
Alabama:2015:Orconectes sheltae
Alabama:2015:P. polionotus ammobates
Alabama:2015:Palaemonias poulsoin
Alabama:2015:Pegias fabula
Alabama:2015:Percina auroloineata 
Alabama:2015:Percina brevicauda 
Alabama:2015:Percina burtoni
Alabama:2015:Percina crypta 
Alabama:2015:Percina evides
Alabama:2015:Percina phoxocephala 
Alabama:2015:Percina sipsi 
Alabama:2015:Percina tanasi 
Alabama:2015:Perimyotis subflavus
Alabama:2015:Peucaea aestivalis
Alabama:2015:Phaeognathus hubrichti
Alabama:2015:Phenacobius mirabilis 
Alabama:2015:Phenacobius uranops
Alabama:2015:Picoides borealis
Alabama:2015:Pituophis melanoleucus lodingi
Alabama:2015:Pituophis melanoleucus melanoleucus
Alabama:2015:Pituophis melanoleucus mugitus
Alabama:2015:Plestiodon anthracinus 
Alabama:2015:Plestiodon inexpectatus 
Alabama:2015:Plethobasus cicatricosus
Alabama:2015:Plethobasus cooperianus
Alabama:2015:Plethobasus cyphyus
Alabama:2015:Plethodon serratus
Alabama:2015:Pleurobema athearni
Alabama:2015:Pleurobema beadleianum
Alabama:2015:Pleurobema clava
Alabama:2015:Pleurobema cordatum
Alabama:2015:Pleurobema curtum
Alabama:2015:Pleurobema decisum
Alabama:2015:Pleurobema georgianum
Alabama:2015:Pleurobema hanleyianum
Alabama:2015:Pleurobema hartmanianum
Alabama:2015:Pleurobema oviforme
Alabama:2015:Pleurobema perovatum
Alabama:2015:Pleurobema plenum
Alabama:2015:Pleurobema pyriforme
Alabama:2015:Pleurobema rubellum
Alabama:2015:Pleurobema rubrum
Alabama:2015:Pleurobema sintoxia
Alabama:2015:Pleurobema stabile
Alabama:2015:Pleurobema strodeanum
Alabama:2015:Pleurobema taitianum
Alabama:2015:Pleurocera alveare
Alabama:2015:Pleurocera foremanii
Alabama:2015:Pleurocera pyrenella
Alabama:2015:Pleurocera striatum
Alabama:2015:Pleuronaia barnesiana*
Alabama:2015:Pleuronaia dolabelloides*
Alabama:2015:Potamilus inflatus
Alabama:2015:Procambarus capillatus
Alabama:2015:Procambarus clemmeri
Alabama:2015:Procambarus evermanni
Alabama:2015:Procambarus hagenianus hagenianus
Alabama:2015:Procambarus hayi
Alabama:2015:Procambarus hubbelli
Alabama:2015:Procambarus hybus
Alabama:2015:Procambarus lagniappe
Alabama:2015:Procambarus lecontei
Alabama:2015:Procambarus marthae
Alabama:2015:Procambarus okaloosae
Alabama:2015:Procambarus planirostris
Alabama:2015:Procambarus viaevirdis
Alabama:2015:Pseudarcris ocularis
Alabama:2015:Pseudemys alabamensis
Alabama:2015:Pseudotryonia grahamae
Alabama:2015:Pteronotropis euryzonus 
Alabama:2015:Pteronotropis welaka 
Alabama:2015:Ptychobranchus fasciolaris
Alabama:2015:Ptychobranchus foremanianus*
Alabama:2015:Ptychobranchus greenii
Alabama:2015:Ptychobranchus jonesi
Alabama:2015:Ptychobranchus subtentus
Alabama:2015:Puma concolor
Alabama:2015:Quadrula cylindrica
Alabama:2015:Quadrula infucata
Alabama:2015:Quadrula intermedia
Alabama:2015:Quadrula kieneriana
Alabama:2015:Quadrula metanevra
Alabama:2015:Quadrula sparsa
Alabama:2015:Rallus elegans
Alabama:2015:Reginaia rotulata
Alabama:2015:Rhodacmea cahawbensis
Alabama:2015:Rhodacmea filosa
Alabama:2015:Rhodacmea hinkleyi
Alabama:2015:Sander sp. cf. vitreus
Alabama:2015:Scaphirhynchus platorynchus
Alabama:2015:Scaphirhynchus suttkusi 
Alabama:2015:Setophaga cerulea
Alabama:2015:Somatochlora hineana
Alabama:2015:Sorex fumeus
Alabama:2015:Sorex hoyi
Alabama:2015:Speoplatyrhinus poulsoni 
Alabama:2015:Spilogale putorius
Alabama:2015:Sternotherus carinatus
Alabama:2015:Sternotherus depressus
Alabama:2015:Stiobia nana
Alabama:2015:Strophitus connasaugaensis
Alabama:2015:Strophitus undulatus
Alabama:2015:Sylvilagus obscurus
Alabama:2015:Sylvilagus palustris
Alabama:2015:Tadarida brasiliensis
Alabama:2015:Thryomanes bewickii
Alabama:2015:Toxolasma corvunculus
Alabama:2015:Toxolasma cylindrellus
Alabama:2015:Tulotoma magnifica
Alabama:2015:Ursus americanus
Alabama:2015:Utterbackia peggyae
Alabama:2015:Villosa fabalis
Alabama:2015:Villosa nebulosa
Alabama:2015:Villosa taeniata
Alabama:2015:Villosa trabalis
Alabama:2015:Villosa umbrans
Alabama:2015:Villosa villosa
Alabama:2015:Zapus hudsonius
Connecticut:2005:Cottus cognatus
Connecticut:2005:Cynoscion regalis
Connecticut:2005:Empidonax traillii
Connecticut:2005:Enallagma minusculum
Connecticut:2005:Enallagma pictum
Connecticut:2005:Gallinula chloropus
Connecticut:2005:Hemileuca maia
Connecticut:2005:Icteria virens
Connecticut:2005:Lasionycteris noctivagans
Connecticut:2005:Myotis leibii
Connecticut:2005:Osmerus mordax
Connecticut:2005:Paralichthys oblongus
Connecticut:2005:Rallus longirostris
Connecticut:2005:Riparia riparia
Connecticut:2005:Salvelinus fontinalis
Connecticut:2005:Scaphinotus viduus
Connecticut:2005:Seiurus aurocapillus
Connecticut:2005:Sitta canadensis
Connecticut:2005:Squilla empusa
Connecticut:2005:Sturnella magna
Connecticut:2015:Acipenser oxyrinchus oxyrinchus
Connecticut:2015:Acronicta albarufa
Connecticut:2015:Acronicta fragilis
Connecticut:2015:Acronicta lanceolaria
Connecticut:2015:Actaea racemosa
Connecticut:2015:Aegolius acadicus
Connecticut:2015:Agalinis acuta
Connecticut:2015:Agonum darlingtoni
Connecticut:2015:Agonum mutatum
Connecticut:2015:Agrotis stigmosa
Connecticut:2015:Alasmidonta varicosa
Connecticut:2015:Alosa aestivalis
Connecticut:2015:Alosa pseudoharengus
Connecticut:2015:Amara chalcea
Connecticut:2015:Amaranthus pumilus
Connecticut:2015:Amblyscirtes vialis
Connecticut:2015:Ambystoma maculatum
Connecticut:2015:Ambystoma opacum
Connecticut:2015:Amelanchier laevis
Connecticut:2015:Amelanchier nantucketensis
Connecticut:2015:Amelanchier spicata
Connecticut:2015:Ammodramus savannarum
Connecticut:2015:Ammodytes americanus
Connecticut:2015:Anas rubripes
Connecticut:2015:Anaxyrus fowleri
Connecticut:2015:Anchoa mitchilli
Connecticut:2015:Andropogon gerardii
Connecticut:2015:Anthopotamus verticis
Connecticut:2015:Apeltes quadracus
Connecticut:2015:Apodrepanulatrix liberaria
Connecticut:2015:Aquilegia canadensis
Connecticut:2015:Ardea alba
Connecticut:2015:Arenaria interpres
Connecticut:2015:Arethusa bulbosa
Connecticut:2015:Argopecten irradians
Connecticut:2015:Asclepias incarnata
Connecticut:2015:Asclepias purpurascens
Connecticut:2015:Asclepias syriaca
Connecticut:2015:Asclepias tuberosa
Connecticut:2015:Asclepias viridiflora
Connecticut:2015:Atylotus sphagnicolus
Connecticut:2015:Aureolaria pedicularia
Connecticut:2015:Baetisca lacustris
Connecticut:2015:Baetisca obesa
Connecticut:2015:Baptisia tinctoria
Connecticut:2015:Bartramia longicauda
Connecticut:2015:Bembidion planum
Connecticut:2015:Bembidion pseudocautum
Connecticut:2015:Bembidion simplex
Connecticut:2015:Bombus affinis
Connecticut:2015:Bombus ashtoni
Connecticut:2015:Bombus terricola
Connecticut:2015:Bonasa umbellus
Connecticut:2015:Botaurus lentiginosus
Connecticut:2015:Botrychium rugulosum
Connecticut:2015:Brachinus cyanipennis
Connecticut:2015:Brachinus ovipennis
Connecticut:2015:Brevoortia tyrannus
Connecticut:2015:Busycon carica
Connecticut:2015:Busycotypus canaliculatum
Connecticut:2015:Buteo platypterus
Connecticut:2015:Calephelis borealis
Connecticut:2015:Calidris alba
Connecticut:2015:Calidris pusilla
Connecticut:2015:Callophrys henrici
Connecticut:2015:Callophrys irus
Connecticut:2015:Callophrys polios
Connecticut:2015:Cancer irroratus
Connecticut:2015:Carabus vinctus
Connecticut:2015:Carcharhinus plumbeus
Connecticut:2015:Carcinus maenas
Connecticut:2015:Cardamine longii
Connecticut:2015:Caretta caretta
Connecticut:2015:Carex barrattii
Connecticut:2015:Catocala herodias gerhardi
Connecticut:2015:Catocala pretiosa pretiosa
Connecticut:2015:Ceanothus americanus
Connecticut:2015:Celithemis martha
Connecticut:2015:Chenopodium fogii
Connecticut:2015:Chytonix sensilis
Connecticut:2015:Cicindela dorsalis dorsalis
Connecticut:2015:Cicindela formosa generosa
Connecticut:2015:Cicindela puritana
Connecticut:2015:Cinygmula subaequalis
Connecticut:2015:Circus cyaneus
Connecticut:2015:Cistothorus palustris
Connecticut:2015:Cistothorus platensis
Connecticut:2015:Clemmys guttata
Connecticut:2015:Colaptes auratus
Connecticut:2015:Coluber constrictor
Connecticut:2015:Coranarta luteola
Connecticut:2015:Cottus cognatus
Connecticut:2015:Crassostrea virginica
Connecticut:2015:Crotalus horridus
Connecticut:2015:Cyperus esculentus
