Alabama:2015:Scaphirhynchus platorynchus
Alabama:2015:Scaphirhynchus suttkusi 
Alabama:2015:Setophaga cerulea
Alabama:2015:Somatochlora hineana
Alabama:2015:Sorex hoyi
Alabama:2015:Speoplatyrhinus poulsoni 
Alabama:2015:Spilogale putorius
Alabama:2015:Sternotherus carinatus
Alabama:2015:Sternotherus depressus
Alabama:2015:Strophitus undulatus
Alabama:2015:Sylvilagus obscurus
Alabama:2015:Sylvilagus palustris
Alabama:2015:Toxolasma corvunculus
Alabama:2015:Trichechus manatus
Alabama:2015:Ursus americanus
Alabama:2015:Utterbackia peggyae
Alabama:2015:Villosa fabalis
Alabama:2015:Villosa trabalis
Alabama:2015:Villosa umbrans
Alabama:2015:Zapus hudsonius
Alaska:2005:Accipiter gentilus laingi
Alaska:2005:Accipiter gentilus
Alaska:2005:Acentrella feropagus
Alaska:2005:Actitis hypoleucos
Alaska:2005:Aethia cristatella
Alaska:2005:Aethia pusilla
Alaska:2005:Alaskaperla ovibovis
Alaska:2005:Alauda arvensis
Alaska:2005:Alle alle
Alaska:2005:Ambystoma macrodactylum
Alaska:2005:Annelida
Alaska:2005:Anodonta beringiana
Alaska:2005:Anser albifrons elgasi
Alaska:2005:Aphriza virgata
Alaska:2005:Arenaria melanocephala
Alaska:2005:Balaenoptera acutorostrata
Alaska:2005:Balaenoptera musculus
Alaska:2005:Balaenoptera physalus
Alaska:2005:Bartramia longicauda
Alaska:2005:Bison bison athabascae
Alaska:2005:Boloria astarte distincta
Alaska:2005:Bombycilla garrulus
Alaska:2005:Botarus lentiginosus
Alaska:2005:Brachycercus arcticus
Alaska:2005:Brachyranphus marmoratus
Alaska:2005:Bubo virginianus
Alaska:2005:Bufo boreas
Alaska:2005:Buteo jamaicensis alascensis
Alaska:2005:Calidris alba
Alaska:2005:Calidris alpina
Alaska:2005:Calidris canutus
Alaska:2005:Calidris fuscicollis
Alaska:2005:Calidris mauri
Alaska:2005:Calidris ptilocnemis ptilocnemis
Alaska:2005:Calidris subminuta
Alaska:2005:Calidris temminckii
Alaska:2005:Califris ferruginea
Alaska:2005:Canis lupus ligoni
Alaska:2005:Caretta caretta
Alaska:2005:Catharus guttatus
Alaska:2005:Catharus minimus
Alaska:2005:Catharus ustulatus
Alaska:2005:Catostomus catostomus
Alaska:2005:Charadrius mongolus stegmanni
Alaska:2005:Charadrius mongolus
Alaska:2005:Cinclus mexicanus
Alaska:2005:Circus cyaneus
Alaska:2005:Clangula hyemalis
Alaska:2005:Clethrionomys gapperi phaeus
