Illinois:2015:Gryllotalpa major
Illinois:2015:Hadena ectypa
Illinois:2015:Haliaeetus leucocephalus
Illinois:2015:Hemidactylium scutatum
Illinois:2015:Hemileuca maia
Illinois:2015:Hesperia dacotae
Illinois:2015:Hesperia metea
Illinois:2015:Hesperia ottoe
Illinois:2015:Heterodon nasicus
Illinois:2015:Hiodon tergisus
Illinois:2015:Hybognathus hankinsoni
Illinois:2015:Hybognathus hayi
Illinois:2015:Hybognathus placitus
Illinois:2015:Hybopsis amblops
Illinois:2015:Hybopsis amnis
Illinois:2015:Hydroperla fugitans
Illinois:2015:Hydropsyche arinale
Illinois:2015:Hydropsyche cuanis
Illinois:2015:Hyla avivoca
Illinois:2015:Hylocichla mustelina
Illinois:2015:Ichthyomyzon castaneus
Illinois:2015:Ichthyomyzon fossor
Illinois:2015:Ichthyomyzon unicuspis
Illinois:2015:Icteria virens
Illinois:2015:Ictinia mississippiensis
Illinois:2015:Isonychia arida
Illinois:2015:Isonychia sayi
Illinois:2015:Ixobrychus exilis
Illinois:2015:Kinosternon flavescens
Illinois:2015:Lampetra aepyptera
Illinois:2015:Lampsilis abrupta 
Illinois:2015:Lampsilis fasciola
Illinois:2015:Lampsilis higginsii 
Illinois:2015:Lampsilis hydiana 
Illinois:2015:Lampsilis ovata 
Illinois:2015:Lanius ludovicianus
Illinois:2015:Lasmigona compressa 
Illinois:2015:Lasmigona costata 
Illinois:2015:Laterallus jamaicensis
Illinois:2015:Lepomis miniatus
Illinois:2015:Lepomis symmetricus
Illinois:2015:Leptodea leptodon
Illinois:2015:Leptoxis praerosa 
Illinois:2015:Lethe appalachia
Illinois:2015:Lethe creola
Illinois:2015:Lethenteron appendix
Illinois:2015:Ligumia recta 
Illinois:2015:Limnodromus griseus
Illinois:2015:Limnothlypis swainsonii
Illinois:2015:Limotettix parallelus
Illinois:2015:Limotettix truncatus
Illinois:2015:Lithasia obovata
Illinois:2015:Lithobates areolata
Illinois:2015:Lithobates palustris
Illinois:2015:Lonatura catalina
Illinois:2015:Lota lota
Illinois:2015:Luxilus zonatus
Illinois:2015:Lycaeides melissa samuelis
Illinois:2015:Lythrurus fumeus
Illinois:2015:Macrhybopsis gelida
Illinois:2015:Macrhybopsis hyostoma
Illinois:2015:Macrhybopsis meeki
Illinois:2015:Macrochelys temminckii
Illinois:2015:Margaritifera monodonta
Illinois:2015:Masticophis flagellum
Illinois:2015:Melanerpes erythrocephalus
Illinois:2015:Melanomma auricinctaria
Illinois:2015:Memnonia panzeri
Illinois:2015:Moxostoma carinatum
Illinois:2015:Moxostoma valenciennesi
Illinois:2015:Mundochthonius cavernicola
Illinois:2015:Myotis austroriparius
Illinois:2015:Myotis grisescens
Illinois:2015:Myotis leibii
Illinois:2015:Myotis septentrionalis
Illinois:2015:Myotis sodalis
Illinois:2015:Myoxocephalus thompsonii
Illinois:2015:Nannothemis bella
Illinois:2015:Necturus maculosus
Illinois:2015:Neodactria murellus
Illinois:2015:Neotoma floridana
Illinois:2015:Nerodia cyclopion
Illinois:2015:Nerodia fasciata
Illinois:2015:Nicrophorus americanus
Illinois:2015:Nocomis micropogon
Illinois:2015:Nomotettix parvus
Illinois:2015:Notopthalmus viridescens
Illinois:2015:Notropis anogenus
Illinois:2015:Notropis boops
Illinois:2015:Notropis buchanani
Illinois:2015:Notropis chalybaeus
Illinois:2015:Notropis heterodon
Illinois:2015:Notropis heterolepis
Illinois:2015:Notropis maculatus
Illinois:2015:Notropis shumardi
Illinois:2015:Notropis texanus
Illinois:2015:Noturus eleutherus
Illinois:2015:Noturus stigmosus
Illinois:2015:Nyctanassa violacea
Illinois:2015:Nycticorax nycticorax
Illinois:2015:Oarisma poweshiek
Illinois:2015:Ochrotomys nuttalli
Illinois:2015:Oncopodura iowae
Illinois:2015:Opheodrys vernalis
Illinois:2015:Ophisaurus attenuatus
Illinois:2015:Oporornis agilis
Illinois:2015:Opsopoeodus emiliae
Illinois:2015:Orconectes illinoiensis
Illinois:2015:Orconectes indianensis
Illinois:2015:Orconectes kentuckiensis
Illinois:2015:Orconectes lancifer
Illinois:2015:Orconectes placidus
Illinois:2015:Orconectes stannardi
Illinois:2015:Oryzomys palustris
Illinois:2015:Pandion haliaetus
Illinois:2015:Pantherophis emoryi
Illinois:2015:Papaipema beeriana
Illinois:2015:Papaipema birdi
Illinois:2015:Papaipema cerina
Illinois:2015:Papaipema cerussata
Illinois:2015:Papaipema eryngii
Illinois:2015:Papaipema inquaesita
Illinois:2015:Papaipema limpida
Illinois:2015:Papaipema sciata
Illinois:2015:Papaipema silphii
Illinois:2015:Paraleptophlebia ontario
Illinois:2015:Paraphlepsius carolinus
Illinois:2015:Paraphlepsius nebulosus
Illinois:2015:Paraphlepsius umbellatus
Illinois:2015:Pendarus magnus
Illinois:2015:Pentagenia vittigera
Illinois:2015:Perca flavescens
Illinois:2015:Percina shumardi
Illinois:2015:Percopsis omiscomaycus
Illinois:2015:Perlesta golconda
Illinois:2015:Phalaropus tricolor
Illinois:2015:Phasianus colchicus
Illinois:2015:Photedes enervata
Illinois:2015:Photedes inops
Illinois:2015:Phytometra ernestinana
Illinois:2015:Pipilo erythrophthalmus
Illinois:2015:Platygobio gracilis
Illinois:2015:Plethobasus cooperianus
Illinois:2015:Plethobasus cyphyus 
Illinois:2015:Pleurobema clava 
Illinois:2015:Pleurobema cordatum
Illinois:2015:Pluvialis dominica 
Illinois:2015:Podilymbus podiceps
Illinois:2015:Poliocitellus franklinii
Illinois:2015:Polyamia dilata
Illinois:2015:Polyamia herbida
Illinois:2015:Polyamia interrupta
Illinois:2015:Polyamia rossi
Illinois:2015:Polyamia similaris
Illinois:2015:Polyodon spathula
Illinois:2015:Porrhomma cavernicola
Illinois:2015:Potamilus capax 
Illinois:2015:Potamilus purpuratus
Illinois:2015:Problema byssus
Illinois:2015:Prosopium cylindraceum
Illinois:2015:Prostoia ozarkensis
Illinois:2015:Protonotaria citrea
Illinois:2015:Pseudacris illinoensis
Illinois:2015:Pseudanophthalmus illinoisensis
Illinois:2015:Pseudemys concinna
Illinois:2015:Pseudiron centralis
Illinois:2015:Ptychobranchus fasciolaris 
Illinois:2015:Pungitius pungitius
Illinois:2015:Pygarctia spraguei
Illinois:2015:Pygmarrhopalites madonnensis
Illinois:2015:Pyrausta orphisalis
Illinois:2015:Quadrula nobilis 
Illinois:2015:Rallus elegans 
Illinois:2015:Raptoheptagenia cruentata
Illinois:2015:Regina grahamii
Illinois:2015:Regina septemvittata
Illinois:2015:Rhinichthys cataractae
Illinois:2015:Rhionaeschna mutata
Illinois:2015:Rhodoecia aurantiago
Illinois:2015:Salvelinus fontinalis
Illinois:2015:Salvelinus namaycush
Illinois:2015:Scaphirhynchus albus
Illinois:2015:Scaphytopius dorsalis
Illinois:2015:Schinia gracilenta
Illinois:2015:Schinia saturata
Illinois:2015:Schinia septentrionalis
Illinois:2015:Sciota dammersi
Illinois:2015:Scolopax minor
Illinois:2015:Scudderia pistillata
Illinois:2015:Seiurus aurocapillus
Illinois:2015:Semionellus placidus
Illinois:2015:Setophaga castanea
Illinois:2015:Setophaga cerulea
Illinois:2015:Setophaga discolor
Illinois:2015:Sicus macclintocki
Illinois:2015:Simpsonaias ambigua 
Illinois:2015:Siphlonurus marshalli
Illinois:2015:Siren intermedia
Illinois:2015:Sistrurus catenatus
Illinois:2015:Sitochroa dasconalis
Illinois:2015:Somatochlora hineana
Illinois:2015:Speyeria idalia
Illinois:2015:Sphalloplana hubrichti
Illinois:2015:Sphinx luscitiosa
Illinois:2015:Spiza americana
Illinois:2015:Spizella pusilla 
Illinois:2015:Stenacron minnetonka
Illinois:2015:Sterna forsteri 
Illinois:2015:Sterna hirundo
Illinois:2015:Sternula antillarum 
Illinois:2015:Strophopteryx fasciata
Illinois:2015:Sturnella magna
Illinois:2015:Stygobromus iowae
Illinois:2015:Stygobromus subtilis
Illinois:2015:Stylurus notatus
Illinois:2015:Taeniopteryx lita
Illinois:2015:Tamiasciurus hudsonicus
Illinois:2015:Tantilla gracilis
Illinois:2015:Terrapene carolina
Illinois:2015:Terrapene ornata
Illinois:2015:Thamnophis sauritus
Illinois:2015:Theliderma cylindrica 
Illinois:2015:Theliderma metanevra 
Illinois:2015:Thryomanes bewickii 
Illinois:2015:Tibicen dorsatus
Illinois:2015:Tingupa pallida
Illinois:2015:Toxolasma lividum 
Illinois:2015:Toxostoma rufum
Illinois:2015:Tricholita notata
Illinois:2015:Trimerotropis maritima
Illinois:2015:Trimerotropis saxatilis
Illinois:2015:Tringa flavipes
Illinois:2015:Tritogonia verrucosa 
Illinois:2015:Tropidoclonion lineatum
Illinois:2015:Tryngites subruficollis
Illinois:2015:Tympanuchus cupido
Illinois:2015:Tyto alba 
Illinois:2015:Umbra limi
Illinois:2015:Venustaconcha ellipsiformis 
Illinois:2015:Vermivora chrysoptera
Illinois:2015:Vermivora cyanoptera
Illinois:2015:Villosa fabalis 
Illinois:2015:Villosa iris 
Illinois:2015:Villosa lienosa 
Illinois:2015:Vireo belli
Illinois:2015:Xanthocephalus xanthocephalus
Illinois:2015:Zosteractis interminata
Louisiana:2005:Acipenser oxyrhinchus desotoi
Louisiana:2005:Actinonaias ligamentina
Louisiana:2005:Adinia xenica
Louisiana:2005:Aimophila aestivalis
Louisiana:2005:Alosa alabamae
Louisiana:2005:Amblyscirtes alternata
Louisiana:2005:Amblyscirtes celia
Louisiana:2005:Amblyscirtes hegon
Louisiana:2005:Ambystoma tigrinum tigrinum
Louisiana:2005:Ammocrypta clara
Louisiana:2005:Ammodramus henslowii
Louisiana:2005:Ammodramus leconteii
Louisiana:2005:Ammodramus maritimus
Louisiana:2005:Ammodramus nelsoni
Louisiana:2005:Ammodramus savannarum
Louisiana:2005:Anas acuta
Louisiana:2005:Anas fulvigula
Louisiana:2005:Anodontoides radiatus
Louisiana:2005:Anthanassa texana seminole
Louisiana:2005:Anthocharis midea
Louisiana:2005:Anthus spragueii
Louisiana:2005:Ascia monuste
Louisiana:2005:Asio flammeus
Louisiana:2005:Atrytone arogos
Louisiana:2005:Atrytonopsis hianna
Louisiana:2005:Aythya affinis
Louisiana:2005:Aythya americana
Louisiana:2005:Aythya valisineria
Louisiana:2005:Balaenoptera borealis
Louisiana:2005:Balaenoptera musculus
Louisiana:2005:Balaenoptera physalus
Louisiana:2005:Bassariscus astutus
Louisiana:2005:Botaurus lentiginosus
Louisiana:2005:Brephidium exilis
Louisiana:2005:Brephidium isophthalma
Louisiana:2005:Bufo quercicus
Louisiana:2005:Calcarius pictus
Louisiana:2005:Calephelis virginiensis
Louisiana:2005:Calidris alpina
Louisiana:2005:Campephilus principalis
Louisiana:2005:Campostoma anomalum
Louisiana:2005:Canis rufus
Louisiana:2005:Caprimulgus carolinensis
Louisiana:2005:Caretta caretta
Louisiana:2005:Carphophis vermis
Louisiana:2005:Cemophora coccinea copei
Louisiana:2005:Chaetodipus hispidus
Louisiana:2005:Charadrius alexandrinus
Louisiana:2005:Charadrius melodus
Louisiana:2005:Charadrius wilsonia
Louisiana:2005:Chelonia mydas mydas
Louisiana:2005:Circus cyaneus
Louisiana:2005:Cistothorus platensis
Louisiana:2005:Coccyzus americanus
Louisiana:2005:Colias cesonia
Louisiana:2005:Colinus virginianus
Louisiana:2005:Coturnicops noveboracensis
Louisiana:2005:Crotalus adamanteus
Louisiana:2005:Crotalus horridus
Louisiana:2005:Crystallaria asprella
Louisiana:2005:Cycleptus elongatus
Louisiana:2005:Cycleptus meridionalis
Louisiana:2005:Cyprinella camura
Louisiana:2005:Cyprinella whipplei
Louisiana:2005:Cyprogenia aberti
Louisiana:2005:Dendroica discolor
Louisiana:2005:Dermochelys coriacea
Louisiana:2005:Desmognathus auriculatus
Louisiana:2005:Egretta rufescens
Louisiana:2005:Elanoides forficatus
Louisiana:2005:Eleotris amblyopsis
Louisiana:2005:Ellipsaria lineolata
Louisiana:2005:Elliptio crassidens
Louisiana:2005:Elliptio dilatata
Louisiana:2005:Epinephalus itajara
Louisiana:2005:Eptesicus fuscus
Louisiana:2005:Eretmochelys imbricata imbricata
Louisiana:2005:Ericymba buccata
Louisiana:2005:Erotelis smaragdus
Louisiana:2005:Erynnis baptisiae
Louisiana:2005:Etheostoma caeruleum
