Alabama:2015:Acantharchus pomotis
Alabama:2015:Graptemys barbouri
Alabama:2015:Graptemys ernsti
Alabama:2015:Gyrinophilus palleucus
Alabama:2015:Haematopus palliatus
Alabama:2015:Hamiota altilis*
Alabama:2015:Hamiota australis*
Alabama:2015:Hamiota perovalis*
Alabama:2015:Hamiota subangulata*
Alabama:2015:Hemistena lata
Alabama:2015:Heterodon simus
Alabama:2015:Hiodon alosoides
Alabama:2015:Hobbseus prominens
Alabama:2015:Hyla andersonii
Alabama:2015:Io fluvialis
Alabama:2015:Ixobrychus exilis
Alabama:2015:Lampropeltis getula
Alabama:2015:Lampropeltis nigra holbrooki
Alabama:2015:Lampsilis abrupta
Alabama:2015:Lampsilis virescens
Alabama:2015:Lanius ludovicianus
Alabama:2015:Lasiurus intermedius
Alabama:2015:Lasmigona etowaensis
Alabama:2015:Lasmigona holstonia
Alabama:2015:Lasmigona subviridis
Alabama:2015:Laterallus jamaicensis
Alabama:2015:Lemiox rimosus
Alabama:2015:Lepidochelys kempii
Alabama:2015:Lepisosteus platostomus
Alabama:2015:Leptodea leptodon
Alabama:2015:Leptoxis ampla
Alabama:2015:Leptoxis compacta
Alabama:2015:Leptoxis foremani
Alabama:2015:Leptoxis picta
Alabama:2015:Leptoxis plicata
Alabama:2015:Leptoxis taeniata
Alabama:2015:Leptoxis virgata
Alabama:2015:Lepyrium showalteri
Alabama:2015:Ligumia recta
Alabama:2015:Liodytes (Seminatrix) pygaea 
Alabama:2015:Lioplax cyclostomaformis
Alabama:2015:Lithasia armigera
Alabama:2015:Lithasia curta
Alabama:2015:Lithasia lima
Alabama:2015:Lithasia salebrosa
Alabama:2015:Lithobates areolatus
Alabama:2015:Lithobates capito
Alabama:2015:Lithobates heckscheri
Alabama:2015:Lithobates sevosus
Alabama:2015:Lithobates sylvaticus
Alabama:2015:Lucania goodei
Alabama:2015:Macrhybopsis hyostoma 
Alabama:2015:Malaclemys terrapin pileata
Alabama:2015:Margaritifera marrianae
Alabama:2015:Marstonia angulobasis
Alabama:2015:Marstonia hershleri
Alabama:2015:Marstonia pachyta
Alabama:2015:Marstonia scalariformis
Alabama:2015:Medionidus acutissimus
Alabama:2015:Medionidus conradicus
Alabama:2015:Medionidus parvulus
Alabama:2015:Medionidus penicillatus
Alabama:2015:Micropterus cataractae
Alabama:2015:Micrurus fulvius
Alabama:2015:Mustela frenata
Alabama:2015:Mycteria americana
Alabama:2015:Myotis austroriparius
Alabama:2015:Myotis grisescens
Alabama:2015:Myotis leibii
Alabama:2015:Myotis lucifugus
Alabama:2015:Myotis septentrionalis
Alabama:2015:Myotis sodalis
Alabama:2015:Necturus alabamensis
Alabama:2015:Neonympha mitchellii
Alabama:2015:Neotoma magister
Alabama:2015:Nerodia clarkii 
Alabama:2015:Nicrophorus americanus
Alabama:2015:Notropis albizonatus 
Alabama:2015:Notropis ariommus
Alabama:2015:Notropis buchanani 
Alabama:2015:Notropis cahabae
Alabama:2015:Notropis chalybaeus
Alabama:2015:Notropis cummingsae
Alabama:2015:Notropis hypsilepis
Alabama:2015:Notropis melanostomus
Alabama:2015:Noturus eleutherus 
Alabama:2015:Noturus flavus 
Alabama:2015:Noturus miurus 
Alabama:2015:Noturus munitus 
Alabama:2015:Obovaria choctawensis*
Alabama:2015:Obovaria jacksoniana
Alabama:2015:Obovaria olivaria
Alabama:2015:Obovaria retusa
Alabama:2015:Obovaria subrotunda
Alabama:2015:Obovaria unicolor
Alabama:2015:Ophisaurus attenuatus longicaudus
Alabama:2015:Ophisaurus mimicus
Alabama:2015:Orconectes cooperi
Alabama:2015:Orconectes durelli
Alabama:2015:Orconectes lancifer
Alabama:2015:Orconectes sheltae
Alabama:2015:P. polionotus ammobates
Alabama:2015:P. polionotus trissylepsis
Alabama:2015:Palaemonias poulsoin
Alabama:2015:Pegias fabula
Alabama:2015:Percina auroloineata 
Alabama:2015:Percina brevicauda 
Alabama:2015:Percina burtoni
Alabama:2015:Percina crypta 
Alabama:2015:Percina evides
Alabama:2015:Percina phoxocephala 
Alabama:2015:Percina sipsi 
Alabama:2015:Percina tanasi 
Alabama:2015:Perimyotis subflavus
Alabama:2015:Peucaea aestivalis
Alabama:2015:Phaeognathus hubrichti
Alabama:2015:Phenacobius mirabilis 
Alabama:2015:Phenacobius uranops
Alabama:2015:Picoides borealis
Alabama:2015:Pituophis melanoleucus lodingi
Alabama:2015:Pituophis melanoleucus melanoleucus
Alabama:2015:Pituophis melanoleucus mugitus
Alabama:2015:Plestiodon anthracinus 
Alabama:2015:Plestiodon inexpectatus 
Alabama:2015:Plethobasus cicatricosus
Alabama:2015:Plethobasus cooperianus
Alabama:2015:Plethobasus cyphyus
Alabama:2015:Plethodon serratus
Alabama:2015:Pleurobema athearni
Alabama:2015:Pleurobema beadleianum
Alabama:2015:Pleurobema clava
Alabama:2015:Pleurobema cordatum
Alabama:2015:Pleurobema curtum
Alabama:2015:Pleurobema decisum
Alabama:2015:Pleurobema georgianum
Alabama:2015:Pleurobema hanleyianum
Alabama:2015:Pleurobema hartmanianum
Alabama:2015:Pleurobema oviforme
Alabama:2015:Pleurobema perovatum
Alabama:2015:Pleurobema plenum
Alabama:2015:Pleurobema pyriforme
Alabama:2015:Pleurobema rubellum
Alabama:2015:Pleurobema rubrum
Alabama:2015:Pleurobema sintoxia
Alabama:2015:Pleurobema stabile
Alabama:2015:Pleurobema strodeanum
Alabama:2015:Pleurobema taitianum
Alabama:2015:Pleurocera alveare
Alabama:2015:Pleurocera corpulenta
Alabama:2015:Pleurocera foremanii
Alabama:2015:Pleurocera pyrenella
Alabama:2015:Pleurocera striatum
Alabama:2015:Pleuronaia barnesiana*
Alabama:2015:Pleuronaia dolabelloides*
Alabama:2015:Potamilus inflatus
Alabama:2015:Procambarus capillatus
Alabama:2015:Procambarus clemmeri
Alabama:2015:Procambarus escambiensis
Alabama:2015:Procambarus evermanni
Alabama:2015:Procambarus hagenianus hagenianus
Alabama:2015:Procambarus hayi
Alabama:2015:Procambarus hubbelli
Alabama:2015:Procambarus hybus
Alabama:2015:Procambarus lagniappe
Alabama:2015:Procambarus lecontei
Alabama:2015:Procambarus lewisi
Alabama:2015:Procambarus marthae
Alabama:2015:Procambarus okaloosae
Alabama:2015:Procambarus paeninsulanus
Alabama:2015:Procambarus planirostris
Alabama:2015:Procambarus viaevirdis
Alabama:2015:Pseudarcris ocularis
Alabama:2015:Pseudemys alabamensis
Alabama:2015:Pseudotryonia grahamae
Alabama:2015:Pteronotropis euryzonus 
Alabama:2015:Pteronotropis welaka 
Alabama:2015:Ptychobranchus fasciolaris
Alabama:2015:Ptychobranchus foremanianus*
Alabama:2015:Ptychobranchus greenii
Alabama:2015:Ptychobranchus jonesi
Alabama:2015:Ptychobranchus subtentus
Alabama:2015:Puma concolor
Alabama:2015:Quadrula cylindrica
Alabama:2015:Quadrula infucata
Alabama:2015:Quadrula intermedia
Alabama:2015:Quadrula kieneriana
Alabama:2015:Quadrula metanevra
Alabama:2015:Quadrula sparsa
Alabama:2015:Rallus elegans
Alabama:2015:Reginaia rotulata
Alabama:2015:Rhodacmea cahawbensis
Alabama:2015:Rhodacmea filosa
Alabama:2015:Rhodacmea hinkleyi
Alabama:2015:Sander sp. cf. vitreus
Alabama:2015:Scaphirhynchus platorynchus
Alabama:2015:Scaphirhynchus suttkusi 
Alabama:2015:Setophaga cerulea
Alabama:2015:Somatochlora hineana
Alabama:2015:Sorex fumeus
Alabama:2015:Sorex hoyi
Alabama:2015:Speoplatyrhinus poulsoni 
Alabama:2015:Spilogale putorius
Alabama:2015:Sternotherus carinatus
Alabama:2015:Sternotherus depressus
Alabama:2015:Stiobia nana
Alabama:2015:Strophitus connasaugaensis
Alabama:2015:Strophitus undulatus
Alabama:2015:Sylvilagus obscurus
Alabama:2015:Sylvilagus palustris
Alabama:2015:Tadarida brasiliensis
Alabama:2015:Thryomanes bewickii
Alabama:2015:Toxolasma corvunculus
Alabama:2015:Toxolasma cylindrellus
Alabama:2015:Trichechus manatus
Alabama:2015:Tulotoma magnifica
Alabama:2015:Ursus americanus
Alabama:2015:Utterbackia peggyae
Alabama:2015:Villosa fabalis
Alabama:2015:Villosa nebulosa
Alabama:2015:Villosa taeniata
Alabama:2015:Villosa trabalis
Alabama:2015:Villosa umbrans
Alabama:2015:Villosa villosa
Alaska:2005:Accipiter gentilus atricapillus
Alaska:2005:Accipiter gentilus laingi
Alaska:2005:Accipiter gentilus
Alaska:2005:Accipiter striatus
Alaska:2005:Acentrella feropagus
Alaska:2005:Acipenser medirostris
Alaska:2005:Acipenser transmontanus
Alaska:2005:Actitis hypoleucos
Alaska:2005:Aegolius acadicus
Alaska:2005:Aegolius funereus
Alaska:2005:Aethia cristatella
Alaska:2005:Aethia pusilla
Alaska:2005:Aethia pygmaea
Alaska:2005:Agelaius phoeniceus
Alaska:2005:Alaskaperla ovibovis
Alaska:2005:Alauda arvensis
Alaska:2005:Alle alle
Alaska:2005:Ambystoma gracile
Alaska:2005:Ambystoma macrodactylum
Alaska:2005:Ammodytes hexapturus
Alaska:2005:Annelida
Alaska:2005:Anodonta beringiana
Alaska:2005:Anodonta kennerlyi
Alaska:2005:Anser albifrons elgasi
Alaska:2005:Anthocharis sara alaskensis
Alaska:2005:Aphriza virgata
Alaska:2005:Aquila chrysaetos
Alaska:2005:Ardea herodias fannini
Alaska:2005:Arenaria melanocephala
Alaska:2005:Arthropoda
Alaska:2005:Asio flammeus
Alaska:2005:Balaena mysticetus
Alaska:2005:Balaenoptera acutorostrata
Alaska:2005:Balaenoptera borealis
Alaska:2005:Balaenoptera musculus
Alaska:2005:Balaenoptera physalus
Alaska:2005:Bartramia longicauda
Alaska:2005:Berardius bairdii
Alaska:2005:Bison bison athabascae
Alaska:2005:Boloria astarte distincta
Alaska:2005:Boloria eunomia denali
Alaska:2005:Bombus occidentalis
Alaska:2005:Bombycilla garrulus
Alaska:2005:Boreogadus saida
Alaska:2005:Botarus lentiginosus
Alaska:2005:Brachycercus arcticus
Alaska:2005:Brachyranphus brevirostris
Alaska:2005:Brachyranphus marmoratus
Alaska:2005:Branta canadensis leucopareia
Alaska:2005:Bubo scandiacus
Alaska:2005:Bubo virginianus
Alaska:2005:Bufo boreas
Alaska:2005:Buteo jamaicensis alascensis
Alaska:2005:Buteo lagopus
Alaska:2005:Buteo swainsoni
Alaska:2005:Calcarius pictus
Alaska:2005:Calidris acuminata
Alaska:2005:Calidris alba
Alaska:2005:Calidris alpina articola
Alaska:2005:Calidris alpina
Alaska:2005:Calidris alpine pacifica
Alaska:2005:Calidris bairdii
Alaska:2005:Calidris canutus roselaari
Alaska:2005:Calidris canutus
Alaska:2005:Calidris fuscicollis
Alaska:2005:Calidris himantopus
Alaska:2005:Calidris mauri
Alaska:2005:Calidris ptilocnemis couesi
Alaska:2005:Calidris ptilocnemis ptilocnemis
Alaska:2005:Calidris ptilocnemis tschuktschorum
Alaska:2005:Calidris pusilla
Alaska:2005:Calidris subminuta
Alaska:2005:Calidris temminckii
Alaska:2005:Califris ferruginea
Alaska:2005:Callorhinus ursinus
Alaska:2005:Calypte anna
Alaska:2005:Canis lupus ligoni
Alaska:2005:Carduelis hornemanni
Alaska:2005:Carduelis pinus
Alaska:2005:Caretta caretta
Alaska:2005:Castor canadensis phaeus
Alaska:2005:Catharus guttatus
Alaska:2005:Catharus minimus
Alaska:2005:Catharus ustulatus
Alaska:2005:Cepphus columba
Alaska:2005:Cepphus grylle
Alaska:2005:Certhia americana
Alaska:2005:Ceryle alcyon
Alaska:2005:Chaetura vauxi
Alaska:2005:Charadrius mongolus stegmanni
Alaska:2005:Charadrius mongolus
Alaska:2005:Charadrius morinellus
Alaska:2005:Charadrius vociferous
Alaska:2005:Chelonia mydas
Alaska:2005:Cinclus mexicanus
Alaska:2005:Circus cyaneus
Alaska:2005:Cladocera
Alaska:2005:Clangula hyemalis
Alaska:2005:Clethrionomys gapperi phaeus
Alaska:2005:Clethrionomys gapperi solus
Alaska:2005:Clethrionomys gapperi stikinensis
Alaska:2005:Clethrionomys gapperi wrangeli
Alaska:2005:Clethrionomys gapperi
Alaska:2005:Clethrionomys rutilus albiventer
Alaska:2005:Clethrionomys rutilus glacialis
Alaska:2005:Clethrionomys rutilus insularis
Alaska:2005:Clethrionomys rutilus orca
Alaska:2005:Clethrionomys rutilus
Alaska:2005:Clinocottus acuticeps
Alaska:2005:Colaptes auratus
Alaska:2005:Columba fasciata
Alaska:2005:Contopus cooperi
Alaska:2005:Contopus sordidulus
Alaska:2005:Coregonus nasus
Alaska:2005:Coregonus pidschian
Alaska:2005:Corvus brachyrhynchos
Alaska:2005:Corvus caurinus
Alaska:2005:Cottid Family
Alaska:2005:Cottus aleuticus
Alaska:2005:Cottus asper
Alaska:2005:Cottus cognatus
Alaska:2005:Couesius plumbeus
Alaska:2005:Cryptochiton stelleri
Alaska:2005:Cyanocitta stelleri
Alaska:2005:Cymatogaster aggregata
Alaska:2005:Cypseloides niger
Alaska:2005:Dallia pectoralis
Alaska:2005:Delphinapterus leucas
Alaska:2005:Dendragapus obscurus
Alaska:2005:Dendroica townsendi
Alaska:2005:Dermochelys coriacea
Alaska:2005:Dicrostonyx groenlandicus exsul
Alaska:2005:Dicrostonyx groenlandicus stevensoni
Alaska:2005:Dicrostonyx groenlandicus unalascensis
Alaska:2005:Dicrostonyx groenlandicus
Alaska:2005:Empidonax difficilis
Alaska:2005:Empidonax hammondii
Alaska:2005:Enhydra lutris kenyoni
Alaska:2005:Enhydra lutris
Alaska:2005:Entosphenus tridentatus
Alaska:2005:Ephemeroptera
Alaska:2005:Erigrathus barbatus
Alaska:2005:Eschrichtius robustus
Alaska:2005:Eubalaena glacialis
Alaska:2005:Eumetopias jubatus
Alaska:2005:Eumetopias jubatus
Alaska:2005:Euphagus carolinus
Alaska:2005:Falcipennis canadensis isleibi
Alaska:2005:Falco columbarius suckleyi
Alaska:2005:Falco columbarius
Alaska:2005:Falco peregrinus pealei
Alaska:2005:Falco peregrinus tundrius
Alaska:2005:Falco peregrinus
Alaska:2005:Falco rusticolus
Alaska:2005:Fossaria truncatula
Alaska:2005:Fregata manificens
Alaska:2005:Fulica americana
Alaska:2005:Gallinago delicata
Alaska:2005:Gallinago gallinago
Alaska:2005:Gasterosteus aculeatus
Alaska:2005:Gasterosteus aculeatus
Alaska:2005:Gastropoda
Alaska:2005:Gavia arctica viridigularis
Alaska:2005:Gavia arctica
Alaska:2005:Gavia immer
Alaska:2005:Gavia pacifica
Alaska:2005:Gavia stellata
Alaska:2005:Glaucidium gnoma
Alaska:2005:Glaucomys sabrinus alpinus
Alaska:2005:Glaucomys sabrinus griseifrons
Alaska:2005:Gulo gulo katschemakensis
Alaska:2005:Haematopus bachmani
Alaska:2005:Haliaeetus albicilla
Alaska:2005:Haliaeetus leucocephalus alascanus
Alaska:2005:Haliaeetus leucocephalus
Alaska:2005:Haliotis kamtschatkana
Alaska:2005:Hemipterid Family
Alaska:2005:Heteroscelus brevipes
Alaska:2005:Heteroscelus incanus
Alaska:2005:Hypomesus olidus
Alaska:2005:Hypomesus pretiosus
Alaska:2005:Isocapnia agassizi
Alaska:2005:Isoperla decolorata
Alaska:2005:Isoperla sordida
Alaska:2005:Junco hyemalis
Alaska:2005:Katharina tunicata
Alaska:2005:Lagopus mutus atkhensis
Alaska:2005:Lagopus mutus evermanni
Alaska:2005:Lagopus mutus townsendi
Alaska:2005:Lampetra alaskense
Alaska:2005:Lampetra japonica
Alaska:2005:Lampetra kessleri
Alaska:2005:Lampetra richardsoni
Alaska:2005:Lanius excubitor
Alaska:2005:Larus californicus
Alaska:2005:Larus delawarensis
Alaska:2005:Larus hyperboreus
Alaska:2005:Larus ridibundus
Alaska:2005:Larus schistisagus
Alaska:2005:Lasionycteris noctivagans
Alaska:2005:Lemmus trimucronatus harroldi
Alaska:2005:Lemmus trimucronatus nigripes
Alaska:2005:Lemmus trimucronatus
Alaska:2005:Lepidochelys olivacea
Alaska:2005:Leptocottus armatus
Alaska:2005:Lepus othus poadromus
Alaska:2005:Lepus othus
Alaska:2005:Leucosticte tephrocotis
Alaska:2005:Limnodromus griseus caurinus
Alaska:2005:Limnodromus griseus
Alaska:2005:Limosa fedoa
Alaska:2005:Limosa haemastica
Alaska:2005:Limosa lapponica baueri
Alaska:2005:Limosa lapponica
Alaska:2005:Limosa limosa
Alaska:2005:Lontra canadensis mira
Alaska:2005:Loxia curvirostra
Alaska:2005:Loxia leucoptera
Alaska:2005:Luscinia calliope
Alaska:2005:Luscinia svecica
Alaska:2005:Marmota broweri
Alaska:2005:Marmota caligata sheldoni
Alaska:2005:Marmota caligata vigilis
Alaska:2005:Martes caurina caurina
Alaska:2005:Megaptera novaeangliae
Alaska:2005:Megascops kennicottii
Alaska:2005:Melanitta fusca deglandi
Alaska:2005:Melanitta perspicillata
Alaska:2005:Melospiza melodia maxima
Alaska:2005:Mesocapnia bergi
Alaska:2005:Mesoplodon stejnegeri
Alaska:2005:Microtus abbreviatus abbreviatus
Alaska:2005:Microtus abbreviatus fisheri
Alaska:2005:Microtus abbreviatus
Alaska:2005:Microtus longicaudus littoralis
Alaska:2005:Microtus longicaudus
Alaska:2005:Microtus miurus
Alaska:2005:Microtus oeconomus amakensis
Alaska:2005:Microtus oeconomus elymocetes
Alaska:2005:Microtus oeconomus innuitus
Alaska:2005:Microtus oeconomus popofensis
Alaska:2005:Microtus oeconomus punukensis
Alaska:2005:Microtus oeconomus unalascensis
Alaska:2005:Microtus oeconomus yakutatensis
Alaska:2005:Microtus oeconomus
Alaska:2005:Microtus pennsylvanicus admiraltiae
Alaska:2005:Microtus pennsylvanicus
Alaska:2005:Microtus xanthognathus
Alaska:2005:Mirounga angustirostris
Alaska:2005:Molothrus ater
Alaska:2005:Motacilla lugens
Alaska:2005:Motacilla tschutschensis
Alaska:2005:Mustela erminea alascensis
Alaska:2005:Mustela erminea kadiacensis
Alaska:2005:Mustela erminea salva
Alaska:2005:Mustela erminea seclusa
Alaska:2005:Myadestes townsendi
Alaska:2005:Myctophidae
Alaska:2005:Myotis californicus
Alaska:2005:Myotis keenii
Alaska:2005:Myotis lucifugus
Alaska:2005:Myotis volans (longicrus)
Alaska:2005:Myoxocephalus quadricornis
Alaska:2005:Nematoda
Alaska:2005:Nemoura normani
Alaska:2005:Numenius borealis
Alaska:2005:Numenius phaeopus
Alaska:2005:Numenius tahitiensis
Alaska:2005:Oceanodroma furcata furcata
Alaska:2005:Oceanodroma furcata
Alaska:2005:Oceanodroma leucorhoa leucorhoa
Alaska:2005:Ochotona collaris
Alaska:2005:Odobenus rosmarus
Alaska:2005:Odonata
Alaska:2005:Oeneis alpina
Alaska:2005:Oeneis uhleri cairnesi
Alaska:2005:Oporornis tolmiei
Alaska:2005:Orcinus orca
Alaska:2005:Pandion haliaetus carolinensis
Alaska:2005:Pandion haliaetus
Alaska:2005:Passerella iliaca
Alaska:2005:Pelecypoda
Alaska:2005:Percopsis omiscomaycus
Alaska:2005:Peromyscus keeni algidus
Alaska:2005:Peromyscus keeni macrorhinus
Alaska:2005:Peromyscus keeni oceanicus
Alaska:2005:Peromyscus keeni sitkensis
Alaska:2005:Peromyscus keeni
Alaska:2005:Petrochelidon pyrrhonota
Alaska:2005:Phalacrocorax auritus
Alaska:2005:Phalacrocorax penicillatus
Alaska:2005:Phalacrocorax urile
Alaska:2005:Philomachus pugnax
Alaska:2005:Phoca fasciata
Alaska:2005:Phoca hispida
Alaska:2005:Phoca largha
Alaska:2005:Phoca vitulina richardsi
Alaska:2005:Phocoena phocoena
Alaska:2005:Phoebastria albatrus
Alaska:2005:Phoebastria nigripes
Alaska:2005:Pholid Family
Alaska:2005:Phyciodes pratensis totchone
Alaska:2005:Phylloscopus borealis
Alaska:2005:Physeter catodon
Alaska:2005:Picoides arcticus
Alaska:2005:Picoides dorsalis
Alaska:2005:Picoides villosus
Alaska:2005:Piranga ludoviciana
Alaska:2005:Plecoptera
Alaska:2005:Plectrophenax hyperboreus
Alaska:2005:Pluvialis dominica
Alaska:2005:Pluvialis fulva
Alaska:2005:Pluvialis squatarola
Alaska:2005:Podiceps auritus
Alaska:2005:Podiceps grisegena
Alaska:2005:Podmosta weberi
Alaska:2005:Poecile cincta
Alaska:2005:Poecile hudsonica
Alaska:2005:Poecile rufescens
Alaska:2005:Porzana carolina
Alaska:2005:Prosopium coulteri
Alaska:2005:Pteronarcella regularis
Alaska:2005:Puffinus bulleri
Alaska:2005:Pungitius pungitius
Alaska:2005:Raja (Dipturus) binoculata
Alaska:2005:Rana sylvatica
Alaska:2005:Rangifer tarandus caribou
Alaska:2005:Regulus satrapa
Alaska:2005:Rhodostethia rosea
Alaska:2005:Riparia riparia
Alaska:2005:Rissa brevirostris
Alaska:2005:Rissa tridactyla pollicaris
Alaska:2005:Rissa tridactyla
Alaska:2005:Seiurus noveboracensis
Alaska:2005:Selasphorus rufus
Alaska:2005:Sialia currucoides
Alaska:2005:Sitta canadensis
Alaska:2005:Somateria fischeri
Alaska:2005:Somateria mollissima vnigra
Alaska:2005:Sorex alaskanus
Alaska:2005:Sorex hoyi
Alaska:2005:Sorex jacksoni
Alaska:2005:Sorex monticolus malitiosus
Alaska:2005:Sorex monticolus
Alaska:2005:Sorex tundrensis
Alaska:2005:Sorex yukonicus
Alaska:2005:Spermophilus parryii lyratus
Alaska:2005:Spermophilus parryii nebulicola
Alaska:2005:Spermophilus parryii osgoodi
Alaska:2005:Sphyrapicus varius
Alaska:2005:Spirinchus thaleichthys
Alaska:2005:Stercorarius maccormicki
Alaska:2005:Sterna caspia
Alaska:2005:Sterna hirundo
Alaska:2005:Sterna paradisaea
Alaska:2005:Stichaeid Family
Alaska:2005:Strix varia
Alaska:2005:Stygobromus quatsinensis
Alaska:2005:Surnia ulula
Alaska:2005:Synaptomys borealis
Alaska:2005:Synthliboramphus antiquus
Alaska:2005:Tamiasciurus hudsonicus kenaiensis
Alaska:2005:Tamiasciurus hudsonicus picatus
Alaska:2005:Thaleichthys pacificus
Alaska:2005:Trichoptera
Alaska:2005:Tringa flavipes
Alaska:2005:Tringa nebularia
Alaska:2005:Tringa solitaria cinnamonea
Alaska:2005:Tringa solitaria
Alaska:2005:Troglodytes troglodytes alascensis
Alaska:2005:Troglodytes troglodytes helleri
Alaska:2005:Troglodytes troglodytes meligerus
Alaska:2005:Troglodytes troglodytes stevensoni
